Category,CommunityName,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
Assault (Non-domestic),OGDEN,1,1,4,1,3,3,2,7,1,1,1,2
Assault (Non-domestic),OGDEN SHOPS,,,,,,1,,,,,1,
Assault (Non-domestic),PALLISER,2,1,1,,,,1,,,1,1,
Assault (Non-domestic),PANORAMA HILLS,1,3,4,,1,2,2,1,3,2,3,
Assault (Non-domestic),PARKDALE,,,,1,1,,,2,,,,2
Assault (Non-domestic),PARKHILL,,,,1,,1,,1,,1,,
Assault (Non-domestic),PARKLAND,,,,,,,,,,,,
Assault (Non-domestic),PATTERSON,,1,,,,,1,,,,,
Assault (Non-domestic),PEGASUS,,,,,1,,,,,,,
Assault (Non-domestic),PENBROOKE MEADOWS,,2,1,4,,2,6,5,7,2,1,8
Assault (Non-domestic),PINE CREEK,,,,,,,,1,,,,
Assault (Non-domestic),PINERIDGE,8,3,3,6,3,9,1,8,5,5,4,9
Assault (Non-domestic),POINT MCKAY,,,,,,,,,,,,
Assault (Non-domestic),PUMP HILL,1,,1,,,,,1,1,1,1,
Assault (Non-domestic),QUEENS PARK VILLAGE,,,1,,,,1,,,,,
Assault (Non-domestic),QUEENSLAND,1,,,,2,,1,1,,,,1
Assault (Non-domestic),RAMSAY,1,,,,1,2,1,,,,,
Assault (Non-domestic),RANCHLANDS,,1,,,,1,2,,,,1,1
Assault (Non-domestic),RANGEVIEW,,,,,,,,,,,,
Assault (Non-domestic),RED CARPET,,1,,,,,1,,,,1,
Assault (Non-domestic),REDSTONE,1,1,,,,,,,1,,,1
Assault (Non-domestic),RENFREW,3,1,1,2,,3,1,1,2,,,1
Assault (Non-domestic),RICHMOND,,,1,2,1,2,1,1,1,2,,1
Assault (Non-domestic),RIDEAU PARK,,,,,,,,,1,,,
Assault (Non-domestic),RIVERBEND,,1,3,,1,,1,,,1,,
Assault (Non-domestic),ROCKY RIDGE,,,,,1,1,,,,,,
Assault (Non-domestic),ROSEDALE,,,,,,,,,,,,
Assault (Non-domestic),ROSEMONT,1,,,,,,,1,,,,
Assault (Non-domestic),ROSSCARROCK,3,7,10,5,4,4,8,8,10,4,5,5
Assault (Non-domestic),ROXBORO,,,,,,,,,,,,
Assault (Non-domestic),ROYAL OAK,,1,,1,,,,,,,,
Assault (Non-domestic),ROYAL VISTA,,1,,1,,,,1,,,,1
Assault (Non-domestic),RUNDLE,6,1,7,4,6,1,7,4,4,1,7,2
Assault (Non-domestic),RUTLAND PARK,,,1,1,,1,1,1,,,,
Assault (Non-domestic),SADDLE RIDGE,4,5,3,4,4,3,7,7,6,3,3,2
Assault (Non-domestic),SADDLE RIDGE INDUSTRIAL,,,,1,2,,,1,,,2,1
